user_id,age,platform,daily_usage_minutes,content_type,engagement_score,mental_fatigue_level,date
340,49,TikTok,341,Stories,6.03,3,2023-01-15 03:00:00
342,45,TikTok,48,Reels,2.34,5,2023-01-15 05:00:00
346,48,TikTok,79,Stories,8.46,1,2023-01-15 09:00:00
347,20,TikTok,26,Live,4.97,5,2023-01-15 10:00:00
358,61,TikTok,114,Live,3.73,3,2023-01-15 21:00:00
364,44,TikTok,294,Live,4.42,5,2023-01-16 03:00:00
366,61,TikTok,91,Posts,7.68,4,2023-01-16 05:00:00
375,33,TikTok,224,Reels,7.12,8,2023-01-16 14:00:00
379,18,TikTok,101,Reels,9.48,3,2023-01-16 18:00:00
380,55,TikTok,216,Reels,7.41,2,2023-01-16 19:00:00
384,62,TikTok,298,Shorts,9.93,6,2023-01-16 23:00:00
389,57,TikTok,71,Live,4.34,3,2023-01-17 04:00:00
394,48,TikTok,47,Posts,7.53,9,2023-01-17 09:00:00
402,50,TikTok,125,Stories,9.2,7,2023-01-17 17:00:00
413,31,TikTok,113,Shorts,5.53,5,2023-01-18 04:00:00
415,27,TikTok,244,Live,3.83,10,2023-01-18 06:00:00
417,30,TikTok,349,Stories,5.86,1,2023-01-18 08:00:00
418,43,TikTok,150,Live,8.33,9,2023-01-18 09:00:00
421,47,TikTok,313,Shorts,2.15,8,2023-01-18 12:00:00
424,40,TikTok,223,Reels,8.6,4,2023-01-18 15:00:00
430,30,TikTok,273,Posts,6.07,6,2023-01-18 21:00:00
431,58,TikTok,24,Stories,9.22,7,2023-01-18 22:00:00
433,48,TikTok,307,Shorts,5.75,1,2023-01-19 00:00:00
438,54,TikTok,18,Reels,6.72,4,2023-01-19 05:00:00
453,34,TikTok,28,Shorts,3.04,6,2023-01-19 20:00:00
455,41,TikTok,99,Shorts,6.79,4,2023-01-19 22:00:00
457,41,TikTok,186,Live,3.1,8,2023-01-20 00:00:00
461,16,TikTok,280,Shorts,9.55,10,2023-01-20 04:00:00
463,62,TikTok,300,Reels,4.07,1,2023-01-20 06:00:00
467,40,TikTok,287,Shorts,9.24,10,2023-01-20 10:00:00
472,54,TikTok,277,Stories,2.46,9,2023-01-20 15:00:00
473,20,TikTok,53,Posts,5.68,9,2023-01-20 16:00:00
474,37,TikTok,341,Live,4.21,6,2023-01-20 17:00:00
487,64,TikTok,167,Posts,9.27,2,2023-01-21 06:00:00
494,41,TikTok,226,Reels,6.56,2,2023-01-21 13:00:00
505,51,TikTok,31,Posts,5.03,10,2023-01-22 00:00:00
506,49,TikTok,6,Reels,1.48,3,2023-01-22 01:00:00
512,20,TikTok,188,Posts,1.98,6,2023-01-22 07:00:00
518,17,TikTok,75,Shorts,2.05,6,2023-01-22 13:00:00
519,64,TikTok,214,Stories,3.67,1,2023-01-22 14:00:00
527,48,TikTok,348,Posts,9.45,8,2023-01-22 22:00:00
529,58,TikTok,337,Posts,9.28,1,2023-01-23 00:00:00
532,18,TikTok,201,Shorts,8.99,4,2023-01-23 03:00:00
540,28,TikTok,285,Reels,9.14,8,2023-01-23 11:00:00
542,46,TikTok,200,Reels,1.64,5,2023-01-23 13:00:00
546,38,TikTok,275,Live,2.8,8,2023-01-23 17:00:00
549,23,TikTok,56,Live,7.09,8,2023-01-23 20:00:00
550,44,TikTok,220,Reels,4.55,5,2023-01-23 21:00:00
552,25,TikTok,32,Shorts,9.21,3,2023-01-23 23:00:00
561,51,TikTok,52,Reels,1.08,1,2023-01-24 08:00:00
562,40,TikTok,282,Stories,5.15,1,2023-01-24 09:00:00
565,25,TikTok,56,Shorts,4.12,7,2023-01-24 12:00:00
569,50,TikTok,12,Shorts,6.91,4,2023-01-24 16:00:00
571,50,TikTok,29,Reels,7.25,6,2023-01-24 18:00:00
572,63,TikTok,260,Reels,7.5,5,2023-01-24 19:00:00
579,38,TikTok,79,Reels,7.31,3,2023-01-25 02:00:00
580,47,TikTok,108,Shorts,8.15,5,2023-01-25 03:00:00
587,50,TikTok,236,Live,5.92,3,2023-01-25 10:00:00
588,56,TikTok,43,Shorts,7.18,6,2023-01-25 11:00:00
590,32,TikTok,311,Stories,9.28,6,2023-01-25 13:00:00
593,63,TikTok,324,Shorts,0.8,6,2023-01-25 16:00:00
596,28,TikTok,150,Reels,0.97,2,2023-01-25 19:00:00
603,27,TikTok,47,Shorts,3.4,5,2023-01-26 02:00:00
611,31,TikTok,310,Stories,7.64,9,2023-01-26 10:00:00
616,36,TikTok,116,Stories,1.79,6,2023-01-26 15:00:00
618,38,TikTok,173,Stories,1.95,5,2023-01-26 17:00:00
625,46,TikTok,53,Posts,3.99,1,2023-01-27 00:00:00
627,50,TikTok,76,Stories,7.54,7,2023-01-27 02:00:00
630,58,TikTok,226,Reels,2.75,2,2023-01-27 05:00:00
631,26,TikTok,81,Reels,2.3,6,2023-01-27 06:00:00
647,17,TikTok,346,Shorts,0.73,8,2023-01-27 22:00:00
648,20,TikTok,289,Live,2.91,3,2023-01-27 23:00:00
651,53,TikTok,255,Live,3.31,2,2023-01-28 02:00:00
654,63,TikTok,280,Reels,1.41,3,2023-01-28 05:00:00
658,32,TikTok,76,Reels,6.91,1,2023-01-28 09:00:00
666,34,TikTok,150,Posts,4.38,5,2023-01-28 17:00:00
679,43,TikTok,206,Live,1.31,4,2023-01-29 06:00:00
682,54,TikTok,301,Posts,8.14,7,2023-01-29 09:00:00
689,48,TikTok,320,Posts,1.06,10,2023-01-29 16:00:00
696,62,TikTok,251,Shorts,2.59,5,2023-01-29 23:00:00
704,34,TikTok,143,Reels,7.13,10,2023-01-30 07:00:00
718,27,TikTok,159,Shorts,4.49,10,2023-01-30 21:00:00
723,53,TikTok,238,Shorts,8.15,1,2023-01-31 02:00:00
724,27,TikTok,5,Posts,9.82,7,2023-01-31 03:00:00
727,23,TikTok,62,Posts,9.89,3,2023-01-31 06:00:00
734,52,TikTok,332,Reels,2.4,8,2023-01-31 13:00:00
737,42,TikTok,27,Live,9.03,6,2023-01-31 16:00:00
743,43,TikTok,271,Posts,0.8,1,2023-01-31 22:00:00
753,40,TikTok,224,Shorts,1.25,8,2023-02-01 08:00:00
765,26,TikTok,301,Posts,7.45,10,2023-02-01 20:00:00
771,64,TikTok,86,Live,9.45,10,2023-02-02 02:00:00
775,56,TikTok,53,Shorts,1.59,5,2023-02-02 06:00:00
780,21,TikTok,112,Posts,7.25,3,2023-02-02 11:00:00
788,38,TikTok,53,Live,9.3,3,2023-02-02 19:00:00
794,32,TikTok,197,Reels,7.65,1,2023-02-03 01:00:00
797,24,TikTok,150,Shorts,6.92,9,2023-02-03 04:00:00
798,61,TikTok,320,Stories,6.59,9,2023-02-03 05:00:00
803,16,TikTok,112,Posts,1.84,4,2023-02-03 10:00:00
806,47,TikTok,18,Live,7.05,9,2023-02-03 13:00:00
808,43,TikTok,80,Stories,4.58,1,2023-02-03 15:00:00
811,54,TikTok,162,Shorts,7.45,5,2023-02-03 18:00:00
820,45,TikTok,102,Posts,2.19,9,2023-02-04 03:00:00
827,36,TikTok,291,Reels,9.75,7,2023-02-04 10:00:00
828,29,TikTok,70,Live,4.96,7,2023-02-04 11:00:00
833,49,TikTok,29,Posts,1.73,9,2023-02-04 16:00:00
834,53,TikTok,135,Stories,1.56,7,2023-02-04 17:00:00
835,49,TikTok,329,Live,4.86,6,2023-02-04 18:00:00
842,48,TikTok,235,Shorts,3.97,8,2023-02-05 01:00:00
848,20,TikTok,32,Shorts,2.09,10,2023-02-05 07:00:00
851,25,TikTok,128,Live,0.73,8,2023-02-05 10:00:00
859,21,TikTok,303,Reels,6.96,3,2023-02-05 18:00:00
863,58,TikTok,198,Reels,2.63,8,2023-02-05 22:00:00
871,31,TikTok,218,Posts,8.87,6,2023-02-06 06:00:00
875,19,TikTok,19,Shorts,2.28,3,2023-02-06 10:00:00
882,47,TikTok,251,Live,2.41,2,2023-02-06 17:00:00
890,36,TikTok,311,Stories,5.05,4,2023-02-07 01:00:00
894,56,TikTok,156,Shorts,9.94,5,2023-02-07 05:00:00
905,41,TikTok,128,Stories,5.37,9,2023-02-07 16:00:00
909,45,TikTok,307,Live,5.68,5,2023-02-07 20:00:00
913,41,TikTok,113,Reels,9.53,6,2023-02-08 00:00:00
916,23,TikTok,328,Live,1.04,3,2023-02-08 03:00:00
920,62,TikTok,49,Shorts,8.3,2,2023-02-08 07:00:00
931,29,TikTok,258,Reels,0.63,4,2023-02-08 18:00:00
935,38,TikTok,47,Live,5.55,5,2023-02-08 22:00:00
941,53,TikTok,127,Posts,5.39,4,2023-02-09 04:00:00
944,40,TikTok,157,Shorts,4.76,7,2023-02-09 07:00:00
955,32,TikTok,100,Live,2.93,10,2023-02-09 18:00:00
956,28,TikTok,266,Reels,2.61,7,2023-02-09 19:00:00
967,62,TikTok,91,Reels,4.38,6,2023-02-10 06:00:00
974,59,TikTok,314,Stories,7.17,6,2023-02-10 13:00:00
979,21,TikTok,77,Shorts,0.79,9,2023-02-10 18:00:00
988,21,TikTok,356,Live,7.03,4,2023-02-11 03:00:00
1001,52,TikTok,85,Live,7.3,7,2023-02-11 16:00:00
1003,39,TikTok,279,Stories,1.06,2,2023-02-11 18:00:00
1004,46,TikTok,287,Shorts,6.0,5,2023-02-11 19:00:00
1010,19,TikTok,73,Reels,2.58,2,2023-02-12 01:00:00
1031,64,TikTok,63,Reels,7.03,8,2023-02-12 22:00:00
1032,27,TikTok,117,Posts,5.91,3,2023-02-12 23:00:00
1033,62,TikTok,328,Shorts,4.06,7,2023-02-13 00:00:00
1040,51,TikTok,237,Shorts,3.42,7,2023-02-13 07:00:00
1045,21,TikTok,315,Live,1.29,4,2023-02-13 12:00:00
1049,25,TikTok,67,Shorts,0.62,9,2023-02-13 16:00:00
1053,55,TikTok,229,Reels,7.76,4,2023-02-13 20:00:00
1057,52,TikTok,240,Live,2.85,1,2023-02-14 00:00:00
1061,26,TikTok,32,Posts,1.4,9,2023-02-14 04:00:00
1062,30,TikTok,300,Reels,7.4,1,2023-02-14 05:00:00
1068,64,TikTok,89,Reels,1.45,2,2023-02-14 11:00:00
1070,59,TikTok,34,Stories,1.31,2,2023-02-14 13:00:00
1074,49,TikTok,95,Stories,7.77,9,2023-02-14 17:00:00
1076,50,TikTok,217,Stories,6.9,10,2023-02-14 19:00:00
1084,56,TikTok,116,Stories,0.77,8,2023-02-15 03:00:00
1086,29,TikTok,25,Posts,8.07,5,2023-02-15 05:00:00
1087,45,TikTok,149,Posts,7.64,9,2023-02-15 06:00:00
1088,50,TikTok,150,Posts,1.25,2,2023-02-15 07:00:00
1089,36,TikTok,320,Stories,9.53,6,2023-02-15 08:00:00
1092,34,TikTok,207,Reels,3.63,7,2023-02-15 11:00:00
1094,41,TikTok,117,Live,8.67,7,2023-02-15 13:00:00
1096,40,TikTok,318,Stories,9.67,10,2023-02-15 15:00:00
1097,60,TikTok,263,Shorts,3.02,5,2023-02-15 16:00:00
1101,55,TikTok,343,Posts,3.21,9,2023-02-15 20:00:00
1104,55,TikTok,91,Live,9.33,10,2023-02-15 23:00:00
1112,40,TikTok,182,Posts,4.95,3,2023-02-16 07:00:00
1121,21,TikTok,209,Stories,1.7,1,2023-02-16 16:00:00
1122,21,TikTok,282,Posts,1.58,7,2023-02-16 17:00:00
1132,54,TikTok,306,Reels,9.69,3,2023-02-17 03:00:00
1133,42,TikTok,47,Posts,4.54,3,2023-02-17 04:00:00
1139,42,TikTok,202,Reels,4.35,10,2023-02-17 10:00:00
1141,19,TikTok,35,Shorts,2.0,4,2023-02-17 12:00:00
1143,17,TikTok,75,Shorts,2.75,5,2023-02-17 14:00:00
1144,25,TikTok,12,Posts,5.25,8,2023-02-17 15:00:00
1145,20,TikTok,56,Live,8.1,3,2023-02-17 16:00:00
1149,28,TikTok,42,Reels,9.99,10,2023-02-17 20:00:00
1150,46,TikTok,359,Posts,4.64,8,2023-02-17 21:00:00
1151,62,TikTok,235,Stories,1.92,10,2023-02-17 22:00:00
1156,44,TikTok,205,Reels,6.15,3,2023-02-18 03:00:00
1169,41,TikTok,36,Shorts,8.52,4,2023-02-18 16:00:00
1171,42,TikTok,47,Reels,9.87,7,2023-02-18 18:00:00
1183,61,TikTok,111,Shorts,2.31,9,2023-02-19 06:00:00
1187,28,TikTok,220,Live,3.83,10,2023-02-19 10:00:00
1190,40,TikTok,324,Reels,3.02,5,2023-02-19 13:00:00
1193,55,TikTok,200,Posts,9.1,1,2023-02-19 16:00:00
1200,20,TikTok,275,Reels,3.92,2,2023-02-19 23:00:00
1203,57,TikTok,346,Shorts,5.48,5,2023-02-20 02:00:00
1205,43,TikTok,68,Posts,6.45,4,2023-02-20 04:00:00
1212,37,TikTok,20,Reels,7.3,5,2023-02-20 11:00:00
1214,38,TikTok,262,Shorts,8.56,3,2023-02-20 13:00:00
1222,38,TikTok,173,Posts,1.07,10,2023-02-20 21:00:00
1228,24,TikTok,5,Live,3.59,8,2023-02-21 03:00:00
1237,53,TikTok,151,Posts,4.18,5,2023-02-21 12:00:00
1240,33,TikTok,319,Stories,0.59,7,2023-02-21 15:00:00
1244,32,TikTok,78,Live,7.62,3,2023-02-21 19:00:00
1251,39,TikTok,192,Posts,9.51,7,2023-02-22 02:00:00
1254,44,TikTok,238,Shorts,7.09,3,2023-02-22 05:00:00
1255,58,TikTok,28,Posts,0.92,1,2023-02-22 06:00:00
1256,37,TikTok,30,Shorts,5.1,10,2023-02-22 07:00:00
1257,41,TikTok,222,Live,5.12,9,2023-02-22 08:00:00
1265,64,TikTok,209,Stories,3.57,8,2023-02-22 16:00:00
1267,37,TikTok,75,Posts,3.58,6,2023-02-22 18:00:00
1270,64,TikTok,252,Shorts,7.6,6,2023-02-22 21:00:00
1272,16,TikTok,13,Shorts,6.75,10,2023-02-22 23:00:00
1284,45,TikTok,96,Stories,2.46,10,2023-02-23 11:00:00
1288,33,TikTok,300,Shorts,4.62,3,2023-02-23 15:00:00
1294,64,TikTok,346,Shorts,8.51,8,2023-02-23 21:00:00
1298,16,TikTok,117,Stories,6.25,2,2023-02-24 01:00:00
1304,25,TikTok,262,Live,8.95,10,2023-02-24 07:00:00
1309,48,TikTok,107,Stories,1.64,2,2023-02-24 12:00:00
1314,44,TikTok,228,Live,4.08,9,2023-02-24 17:00:00
1315,23,TikTok,224,Shorts,9.08,3,2023-02-24 18:00:00
1317,18,TikTok,221,Posts,9.69,10,2023-02-24 20:00:00
1318,39,TikTok,8,Reels,7.79,1,2023-02-24 21:00:00
1319,38,TikTok,40,Reels,9.91,6,2023-02-24 22:00:00
1320,23,TikTok,182,Reels,1.01,5,2023-02-24 23:00:00
1321,62,TikTok,261,Posts,3.1,10,2023-02-25 00:00:00
1325,43,TikTok,52,Stories,0.5,7,2023-02-25 04:00:00
1329,50,TikTok,166,Stories,3.73,10,2023-02-25 08:00:00
1331,39,TikTok,351,Stories,5.77,8,2023-02-25 10:00:00
1340,29,TikTok,232,Shorts,3.02,1,2023-02-25 19:00:00
1342,63,TikTok,292,Live,1.18,9,2023-02-25 21:00:00
1343,33,TikTok,86,Posts,8.44,4,2023-02-25 22:00:00
1344,22,TikTok,338,Shorts,1.37,10,2023-02-25 23:00:00
1345,25,TikTok,254,Reels,1.03,9,2023-02-26 00:00:00
1348,38,TikTok,193,Reels,9.84,3,2023-02-26 03:00:00
1353,51,TikTok,220,Posts,7.72,9,2023-02-26 08:00:00
1363,17,TikTok,303,Shorts,0.53,8,2023-02-26 18:00:00
1366,27,TikTok,143,Live,4.73,3,2023-02-26 21:00:00
1367,35,TikTok,56,Stories,7.39,8,2023-02-26 22:00:00
1372,24,TikTok,344,Live,7.88,10,2023-02-27 03:00:00
1373,49,TikTok,357,Shorts,4.96,4,2023-02-27 04:00:00
1381,45,TikTok,304,Shorts,6.98,7,2023-02-27 12:00:00
1384,47,TikTok,253,Stories,1.06,4,2023-02-27 15:00:00
1385,32,TikTok,260,Shorts,9.55,7,2023-02-27 16:00:00
1391,60,TikTok,286,Live,1.7,1,2023-02-27 22:00:00
1394,24,TikTok,57,Posts,7.51,6,2023-02-28 01:00:00
1400,44,TikTok,181,Live,7.22,3,2023-02-28 07:00:00
1406,21,TikTok,158,Shorts,9.55,1,2023-02-28 13:00:00
1408,36,TikTok,63,Shorts,1.27,4,2023-02-28 15:00:00
1410,51,TikTok,253,Live,4.79,2,2023-02-28 17:00:00
1411,56,TikTok,244,Shorts,8.73,1,2023-02-28 18:00:00
1412,53,TikTok,297,Posts,1.35,3,2023-02-28 19:00:00
1413,49,TikTok,291,Live,8.32,10,2023-02-28 20:00:00
1453,50,TikTok,107,Live,1.84,10,2023-03-02 12:00:00
1454,49,TikTok,320,Reels,9.7,1,2023-03-02 13:00:00
1457,37,TikTok,117,Stories,2.16,9,2023-03-02 16:00:00
1463,34,TikTok,171,Live,5.43,7,2023-03-02 22:00:00
1466,32,TikTok,35,Reels,7.37,6,2023-03-03 01:00:00
1467,60,TikTok,16,Posts,3.66,2,2023-03-03 02:00:00
1469,49,TikTok,112,Reels,2.96,8,2023-03-03 04:00:00
1478,40,TikTok,282,Reels,0.59,4,2023-03-03 13:00:00
1495,59,TikTok,29,Stories,4.33,4,2023-03-04 06:00:00
1500,62,TikTok,42,Live,6.19,5,2023-03-04 11:00:00
1509,38,TikTok,243,Live,2.04,9,2023-03-04 20:00:00
1514,40,TikTok,332,Posts,6.16,6,2023-03-05 01:00:00
1525,25,TikTok,139,Shorts,8.78,2,2023-03-05 12:00:00
1527,22,TikTok,246,Shorts,6.09,1,2023-03-05 14:00:00
1529,38,TikTok,274,Reels,6.86,1,2023-03-05 16:00:00
1548,57,TikTok,21,Shorts,5.66,3,2023-03-06 11:00:00
1550,32,TikTok,21,Live,1.5,4,2023-03-06 13:00:00
1551,29,TikTok,206,Posts,4.64,1,2023-03-06 14:00:00
1563,38,TikTok,73,Posts,5.78,8,2023-03-07 02:00:00
1575,31,TikTok,23,Posts,4.84,7,2023-03-07 14:00:00
1583,45,TikTok,102,Posts,2.77,7,2023-03-07 22:00:00
1593,64,TikTok,75,Stories,3.76,9,2023-03-08 08:00:00
1608,18,TikTok,335,Posts,2.82,8,2023-03-08 23:00:00
1610,29,TikTok,17,Reels,9.2,3,2023-03-09 01:00:00
1612,19,TikTok,192,Stories,6.86,1,2023-03-09 03:00:00
1613,33,TikTok,285,Live,3.17,9,2023-03-09 04:00:00
1615,40,TikTok,240,Stories,3.83,9,2023-03-09 06:00:00
1619,30,TikTok,256,Stories,6.77,9,2023-03-09 10:00:00
1620,24,TikTok,54,Reels,2.61,1,2023-03-09 11:00:00
1622,64,TikTok,275,Shorts,1.68,7,2023-03-09 13:00:00
1628,58,TikTok,35,Shorts,7.09,3,2023-03-09 19:00:00
1634,28,TikTok,27,Live,5.75,6,2023-03-10 01:00:00
1639,23,TikTok,104,Shorts,8.71,4,2023-03-10 06:00:00
1645,58,TikTok,36,Live,6.49,9,2023-03-10 12:00:00
1655,38,TikTok,302,Stories,9.2,2,2023-03-10 22:00:00
1658,50,TikTok,91,Live,9.87,10,2023-03-11 01:00:00
1663,33,TikTok,15,Shorts,6.8,6,2023-03-11 06:00:00
1665,39,TikTok,126,Stories,4.78,4,2023-03-11 08:00:00
1667,47,TikTok,335,Reels,6.64,3,2023-03-11 10:00:00
1668,50,TikTok,35,Shorts,4.99,6,2023-03-11 11:00:00
1673,24,TikTok,96,Posts,9.51,9,2023-03-11 16:00:00
1681,43,TikTok,22,Posts,9.74,6,2023-03-12 00:00:00
1688,57,TikTok,292,Shorts,0.87,5,2023-03-12 07:00:00
1689,24,TikTok,190,Stories,5.89,4,2023-03-12 08:00:00
1693,20,TikTok,32,Reels,1.07,5,2023-03-12 12:00:00
1695,49,TikTok,251,Reels,6.74,9,2023-03-12 14:00:00
1696,39,TikTok,341,Stories,5.3,4,2023-03-12 15:00:00
1697,30,TikTok,26,Reels,0.79,5,2023-03-12 16:00:00
1698,53,TikTok,100,Posts,9.71,9,2023-03-12 17:00:00
1705,52,TikTok,281,Posts,6.98,4,2023-03-13 00:00:00
1711,32,TikTok,300,Posts,4.66,5,2023-03-13 06:00:00
1722,60,TikTok,12,Shorts,2.74,5,2023-03-13 17:00:00
1729,43,TikTok,332,Live,3.39,7,2023-03-14 00:00:00
1730,48,TikTok,275,Reels,6.85,7,2023-03-14 01:00:00
1731,63,TikTok,169,Shorts,9.56,5,2023-03-14 02:00:00
1740,53,TikTok,195,Shorts,4.54,8,2023-03-14 11:00:00
1749,47,TikTok,150,Reels,7.56,7,2023-03-14 20:00:00
1751,45,TikTok,111,Posts,5.25,10,2023-03-14 22:00:00
1754,33,TikTok,353,Shorts,7.99,9,2023-03-15 01:00:00
1757,29,TikTok,339,Live,8.47,8,2023-03-15 04:00:00
1767,64,TikTok,155,Shorts,9.44,3,2023-03-15 14:00:00
1770,55,TikTok,136,Reels,6.2,1,2023-03-15 17:00:00
1774,60,TikTok,57,Reels,9.45,5,2023-03-15 21:00:00
1778,34,TikTok,83,Posts,9.83,3,2023-03-16 01:00:00
1786,30,TikTok,69,Reels,5.5,10,2023-03-16 09:00:00
1788,52,TikTok,215,Posts,8.44,8,2023-03-16 11:00:00
1789,44,TikTok,113,Shorts,2.25,9,2023-03-16 12:00:00
1796,42,TikTok,290,Live,2.59,9,2023-03-16 19:00:00
1797,32,TikTok,176,Reels,3.39,5,2023-03-16 20:00:00
1814,44,TikTok,268,Stories,9.0,8,2023-03-17 13:00:00
1818,62,TikTok,356,Shorts,7.65,3,2023-03-17 17:00:00
1821,26,TikTok,214,Stories,7.03,4,2023-03-17 20:00:00
1826,49,TikTok,284,Live,8.4,6,2023-03-18 01:00:00
1833,54,TikTok,282,Stories,5.88,3,2023-03-18 08:00:00
1835,44,TikTok,19,Stories,1.15,8,2023-03-18 10:00:00
1837,26,TikTok,157,Live,8.07,7,2023-03-18 12:00:00
1841,29,TikTok,117,Shorts,1.02,5,2023-03-18 16:00:00
1848,59,TikTok,19,Shorts,5.57,9,2023-03-18 23:00:00
1850,44,TikTok,343,Stories,3.65,1,2023-03-19 01:00:00
1854,52,TikTok,337,Shorts,0.88,7,2023-03-19 05:00:00
