UserID,Age,Gender,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType
51,45,Female,35892,False,False,Waiting staff,Rural,TikTok,260,4,9305,Entertainment,16,6344,3,14,47,71,Afternoon,5,5,Entertainment,Tablet,Windows,17:00:00,7,3,At home,Wi-Fi
52,64,Other,67299,True,True,driver,Rural,TikTok,90,10,7523,Entertainment,9,8408,7,7,14,7,Evening,6,4,Entertainment,Tablet,iOS,14:00:00,8,2,At home,Mobile Data
54,61,Male,50682,True,False,driver,Rural,TikTok,45,12,9473,Trends,5,7887,8,8,31,65,Afternoon,5,5,Procrastination,Computer,Android,17:00:00,7,3,At work,Mobile Data
55,25,Other,34289,False,False,Cashier,Rural,TikTok,206,16,1233,Life Hacks,20,1609,7,24,9,46,Evening,6,4,Habit,Smartphone,iOS,14:00:00,8,2,At home,Mobile Data
60,53,Male,85428,True,False,driver,Urban,TikTok,294,12,4726,Life Hacks,6,7851,9,26,24,74,Night,3,7,Habit,Smartphone,iOS,21:00:00,5,5,At home,Mobile Data
66,21,Other,40644,False,False,Teacher,Rural,TikTok,220,8,257,Life Hacks,27,4786,4,18,22,63,Afternoon,5,5,Habit,Smartphone,MacOS,17:00:00,7,3,At home,Mobile Data
77,25,Female,26304,False,False,driver,Rural,TikTok,261,18,1307,Pranks,8,7288,6,25,36,45,Night,3,7,Procrastination,Smartphone,Android,21:00:00,5,5,Commuting,Wi-Fi
79,40,Other,49300,False,False,Labor/Worker,Rural,TikTok,280,16,497,Vlogs,28,3653,9,22,5,79,Evening,6,4,Boredom,Smartphone,iOS,14:00:00,8,2,At school,Wi-Fi
83,62,Male,39446,False,False,Students,Rural,TikTok,220,12,6237,Pranks,4,7699,1,15,20,40,Evening,6,4,Entertainment,Smartphone,MacOS,14:00:00,8,2,Commuting,Mobile Data
86,41,Other,95415,True,True,Waiting staff,Rural,TikTok,222,15,2432,Life Hacks,15,3216,4,18,5,75,Night,3,7,Entertainment,Smartphone,iOS,21:00:00,5,5,At home,Wi-Fi
88,42,Other,91707,True,True,Manager,Rural,TikTok,138,8,2785,Life Hacks,27,9600,9,1,1,62,Night,3,7,Entertainment,Computer,MacOS,21:00:00,5,5,At home,Mobile Data
94,18,Male,65232,True,True,driver,Rural,TikTok,36,14,1020,Vlogs,10,8301,4,22,6,32,Night,3,7,Boredom,Tablet,iOS,21:00:00,5,5,At work,Wi-Fi
101,25,Male,34357,False,False,Engineer,Rural,TikTok,171,9,9231,Vlogs,8,595,5,18,20,4,Afternoon,5,5,Boredom,Tablet,Android,17:00:00,7,3,At work,Wi-Fi
104,34,Female,96943,True,False,Engineer,Rural,TikTok,209,16,3004,Gaming,1,56,9,27,23,29,Night,3,7,Habit,Tablet,Windows,21:00:00,5,5,At work,Mobile Data
110,59,Male,50651,True,True,Labor/Worker,Rural,TikTok,167,12,3037,Jokes/Memes,17,8303,3,25,21,16,Night,3,7,Procrastination,Tablet,Android,21:00:00,5,5,At work,Mobile Data
113,45,Female,36994,False,False,Labor/Worker,Rural,TikTok,213,15,4839,Jokes/Memes,13,4121,2,5,3,58,Evening,6,4,Procrastination,Smartphone,Android,14:00:00,8,2,At work,Mobile Data
115,26,Male,79634,True,False,Students,Rural,TikTok,244,1,3654,Entertainment,24,757,1,20,26,25,Night,3,7,Habit,Smartphone,Android,21:00:00,5,5,At school,Mobile Data
117,29,Female,57823,True,False,Cashier,Rural,TikTok,159,2,9269,Entertainment,15,7273,8,20,6,59,Evening,6,4,Habit,Smartphone,Android,14:00:00,8,2,At work,Wi-Fi
118,51,Male,83878,True,False,driver,Rural,TikTok,168,12,974,Life Hacks,25,3535,7,15,28,1,Evening,6,4,Habit,Smartphone,iOS,14:00:00,8,2,At work,Wi-Fi
119,50,Other,38708,False,True,Labor/Worker,Rural,TikTok,288,8,7084,Life Hacks,26,2293,1,10,8,97,Evening,6,4,Habit,Smartphone,Android,14:00:00,8,2,At work,Mobile Data
122,54,Other,83870,True,False,Labor/Worker,Rural,TikTok,97,15,3407,Gaming,1,908,5,29,19,98,Night,3,7,Habit,Tablet,iOS,21:00:00,5,5,At home,Mobile Data
126,39,Female,50933,True,False,driver,Rural,TikTok,194,13,105,Gaming,23,2311,9,26,47,41,Evening,6,4,Entertainment,Tablet,Android,14:00:00,8,2,At school,Mobile Data
130,52,Female,38133,False,False,Students,Urban,TikTok,117,1,4349,Jokes/Memes,22,1885,5,14,49,68,Evening,6,4,Habit,Tablet,MacOS,14:00:00,8,2,At home,Wi-Fi
139,56,Male,42263,False,True,Students,Rural,TikTok,128,18,5940,Life Hacks,16,8653,7,24,11,65,Morning,8,2,Boredom,Tablet,Android,08:00:00,10,0,Commuting,Mobile Data
144,43,Female,70729,True,True,Engineer,Urban,TikTok,53,14,109,Pranks,12,869,6,7,3,79,Night,3,7,Entertainment,Smartphone,Android,21:00:00,5,5,Commuting,Mobile Data
146,30,Other,38658,False,True,Engineer,Rural,TikTok,87,14,5932,Life Hacks,16,7741,2,9,9,64,Evening,6,4,Habit,Tablet,iOS,14:00:00,8,2,Commuting,Mobile Data
147,49,Male,41253,False,False,Waiting staff,Rural,TikTok,187,11,4054,Life Hacks,12,4694,8,27,28,25,Night,3,7,Procrastination,Smartphone,iOS,21:00:00,5,5,At work,Mobile Data
148,56,Male,84166,True,False,Labor/Worker,Urban,TikTok,12,16,4538,Jokes/Memes,20,8998,7,24,19,55,Morning,8,2,Procrastination,Smartphone,Android,08:00:00,10,0,At home,Wi-Fi
151,47,Other,71578,True,False,Artist,Urban,TikTok,60,11,2721,Entertainment,27,703,5,20,13,21,Afternoon,5,5,Habit,Smartphone,Android,17:00:00,7,3,At home,Mobile Data
158,46,Other,69159,True,False,driver,Rural,TikTok,13,8,2802,Pranks,7,7982,9,20,38,7,Night,3,7,Boredom,Tablet,Android,21:00:00,5,5,At school,Mobile Data
161,49,Male,41800,False,True,Waiting staff,Rural,TikTok,97,12,6503,Life Hacks,22,8638,8,8,47,24,Afternoon,5,5,Entertainment,Tablet,Android,17:00:00,7,3,At work,Wi-Fi
164,45,Male,27239,False,False,Manager,Rural,TikTok,143,15,9450,Entertainment,28,5594,2,25,39,44,Evening,6,4,Entertainment,Smartphone,Windows,14:00:00,8,2,At home,Mobile Data
170,45,Female,57991,True,True,Labor/Worker,Rural,TikTok,33,13,4794,Trends,27,1291,7,22,32,52,Afternoon,5,5,Entertainment,Smartphone,Windows,17:00:00,7,3,At home,Mobile Data
175,28,Male,57711,True,False,Students,Urban,TikTok,185,13,1187,ASMR,5,7394,1,2,49,76,Night,3,7,Entertainment,Smartphone,MacOS,21:00:00,5,5,Commuting,Wi-Fi
182,30,Female,24135,False,True,driver,Rural,TikTok,241,17,4508,Life Hacks,29,443,3,22,27,18,Evening,6,4,Procrastination,Tablet,Android,14:00:00,8,2,At school,Mobile Data
186,23,Male,37071,False,True,Labor/Worker,Urban,TikTok,86,12,4288,Jokes/Memes,21,5396,8,2,48,63,Evening,6,4,Entertainment,Smartphone,iOS,14:00:00,8,2,At work,Mobile Data
193,61,Male,22591,False,True,Waiting staff,Urban,TikTok,225,14,866,Jokes/Memes,24,5747,9,24,7,25,Evening,6,4,Habit,Smartphone,iOS,14:00:00,8,2,At home,Wi-Fi
195,32,Other,83370,True,True,Teacher,Urban,TikTok,93,8,5330,Trends,1,7224,5,28,27,4,Evening,6,4,Habit,Tablet,Android,14:00:00,8,2,At school,Wi-Fi
197,49,Male,45150,False,True,Waiting staff,Rural,TikTok,48,4,5757,Jokes/Memes,1,918,6,28,35,94,Evening,6,4,Habit,Smartphone,Android,14:00:00,8,2,At home,Mobile Data
201,56,Other,76481,True,False,Labor/Worker,Rural,TikTok,22,6,9851,Pranks,19,9878,4,26,7,78,Evening,6,4,Entertainment,Tablet,Android,14:00:00,8,2,At school,Wi-Fi
205,34,Male,87065,True,False,Students,Rural,TikTok,137,7,1614,Trends,10,3648,1,1,32,55,Night,3,7,Boredom,Computer,Android,21:00:00,5,5,Commuting,Wi-Fi
208,45,Female,40095,False,True,Waiting staff,Rural,TikTok,268,7,4109,Comedy,27,1656,3,16,32,35,Evening,6,4,Habit,Smartphone,Android,15:45:00,8,2,Commuting,Wi-Fi
209,40,Male,36154,False,False,driver,Rural,TikTok,14,12,9292,Entertainment,27,620,9,5,26,89,Night,3,7,Habit,Smartphone,Android,20:30:00,5,5,At home,Mobile Data
214,36,Female,44217,False,False,Labor/Worker,Rural,TikTok,125,8,7379,Life Hacks,28,7086,5,3,22,13,Evening,6,4,Habit,Smartphone,iOS,15:45:00,8,2,At work,Mobile Data
217,43,Male,97275,True,True,Engineer,Rural,TikTok,209,2,9372,Gaming,29,2368,1,8,2,90,Evening,6,4,Entertainment,Computer,Android,15:45:00,8,2,At home,Mobile Data
222,28,Male,50090,True,False,Students,Rural,TikTok,79,17,5693,Life Hacks,11,5767,9,9,13,86,Evening,6,4,Entertainment,Computer,MacOS,15:45:00,8,2,At work,Wi-Fi
239,53,Male,91986,True,True,Students,Rural,TikTok,58,5,5828,Jokes/Memes,19,2459,5,26,42,16,Evening,6,4,Habit,Computer,iOS,15:45:00,8,2,At school,Mobile Data
241,43,Other,49009,False,True,Waiting staff,Rural,TikTok,298,11,8463,Life Hacks,23,1718,6,10,8,53,Afternoon,5,5,Entertainment,Smartphone,Windows,18:05:00,7,3,At work,Mobile Data
243,36,Male,53866,True,False,driver,Rural,TikTok,123,13,8742,Life Hacks,5,5423,2,20,46,3,Night,3,7,Procrastination,Smartphone,Android,20:30:00,5,5,At school,Mobile Data
244,37,Female,96975,True,True,driver,Rural,TikTok,248,11,5770,ASMR,6,1308,2,10,21,68,Night,3,7,Habit,Smartphone,iOS,20:30:00,5,5,At home,Wi-Fi
245,49,Male,61855,True,False,Waiting staff,Urban,TikTok,142,19,5734,Jokes/Memes,7,1050,9,10,23,5,Evening,6,4,Procrastination,Smartphone,Android,15:45:00,8,2,At school,Mobile Data
248,50,Female,75915,True,False,Students,Rural,TikTok,252,7,9555,Life Hacks,16,2809,8,2,31,29,Evening,6,4,Habit,Smartphone,Windows,15:45:00,8,2,At home,Mobile Data
252,57,Female,52602,True,False,driver,Rural,TikTok,132,13,5855,Entertainment,4,2417,9,8,42,76,Night,3,7,Habit,Smartphone,Android,20:30:00,5,5,At home,Mobile Data
254,28,Male,98112,True,True,driver,Urban,TikTok,91,5,2259,Gaming,21,9090,3,1,40,69,Afternoon,5,5,Habit,Smartphone,Android,18:05:00,7,3,At work,Mobile Data
267,29,Male,41447,False,False,driver,Rural,TikTok,289,10,761,Jokes/Memes,15,1091,2,19,41,49,Evening,6,4,Habit,Smartphone,Android,15:45:00,8,2,At home,Mobile Data
273,52,Other,91906,True,False,Waiting staff,Rural,TikTok,196,19,7770,Pranks,20,5936,2,17,14,63,Evening,6,4,Boredom,Tablet,MacOS,15:45:00,8,2,At home,Mobile Data
275,33,Female,70100,True,False,Labor/Worker,Rural,TikTok,235,6,8028,Jokes/Memes,12,4370,2,13,46,4,Evening,6,4,Entertainment,Tablet,iOS,15:45:00,8,2,Commuting,Mobile Data
276,20,Female,28179,False,True,driver,Rural,TikTok,62,6,7940,Pranks,1,4301,5,27,38,51,Night,3,7,Entertainment,Smartphone,Android,20:30:00,5,5,At school,Mobile Data
281,28,Female,70939,True,True,Waiting staff,Rural,TikTok,73,17,2108,Pranks,24,5161,8,24,4,73,Morning,8,2,Boredom,Smartphone,Android,09:15:00,10,0,At home,Wi-Fi
282,25,Female,49516,False,True,Students,Rural,TikTok,191,15,7929,Vlogs,11,7632,4,29,33,69,Evening,6,4,Boredom,Tablet,Android,15:45:00,8,2,At work,Wi-Fi
286,37,Male,92954,True,True,Waiting staff,Rural,TikTok,269,16,5007,Vlogs,6,4916,1,12,8,73,Evening,6,4,Entertainment,Smartphone,Android,15:45:00,8,2,At home,Mobile Data
287,52,Male,42746,False,False,Students,Rural,TikTok,12,12,1560,Vlogs,16,3718,3,28,34,92,Evening,6,4,Habit,Smartphone,Android,15:45:00,8,2,At school,Mobile Data
290,42,Female,35223,False,True,Labor/Worker,Urban,TikTok,20,15,7524,Life Hacks,14,3095,7,9,27,20,Afternoon,5,5,Entertainment,Tablet,iOS,18:05:00,7,3,Commuting,Mobile Data
295,19,Female,94567,True,False,Waiting staff,Rural,TikTok,232,2,3007,Jokes/Memes,16,2276,1,10,22,28,Afternoon,5,5,Habit,Smartphone,Android,18:05:00,7,3,At work,Wi-Fi
301,21,Female,28787,False,True,Waiting staff,Rural,TikTok,120,11,7929,Vlogs,21,4231,5,17,27,7,Afternoon,5,5,Entertainment,Smartphone,iOS,18:05:00,7,3,At home,Mobile Data
303,31,Male,43383,False,True,Cashier,Rural,TikTok,202,12,8379,Jokes/Memes,14,6658,7,21,12,4,Afternoon,5,5,Boredom,Computer,Android,18:05:00,7,3,At school,Mobile Data
304,38,Other,81709,True,False,Waiting staff,Rural,TikTok,108,6,1598,Gaming,10,6336,7,29,30,5,Evening,6,4,Boredom,Smartphone,iOS,15:45:00,8,2,At home,Mobile Data
305,37,Other,89785,True,True,Artist,Rural,TikTok,168,5,3748,Jokes/Memes,12,9630,4,14,9,11,Evening,6,4,Boredom,Smartphone,iOS,15:45:00,8,2,At work,Mobile Data
308,20,Male,38351,False,False,Students,Rural,TikTok,52,14,2581,Trends,10,665,3,21,42,98,Morning,8,2,Entertainment,Smartphone,Android,09:15:00,10,0,At home,Wi-Fi
317,55,Other,68454,True,True,driver,Rural,TikTok,197,8,9074,Jokes/Memes,21,4030,1,17,31,25,Afternoon,5,5,Boredom,Smartphone,MacOS,18:05:00,7,3,At school,Wi-Fi
319,25,Other,92766,True,True,Waiting staff,Rural,TikTok,198,12,8832,Entertainment,24,521,2,28,47,84,Afternoon,5,5,Boredom,Smartphone,MacOS,18:05:00,7,3,At work,Wi-Fi
320,44,Male,68200,True,True,driver,Urban,TikTok,19,2,4538,Entertainment,20,3355,8,7,8,39,Afternoon,5,5,Entertainment,Smartphone,MacOS,18:05:00,7,3,At school,Mobile Data
322,51,Male,33947,False,True,Engineer,Rural,TikTok,85,7,4322,Gaming,11,3723,8,1,42,5,Afternoon,5,5,Entertainment,Tablet,Android,18:05:00,7,3,At home,Mobile Data
325,50,Male,72142,True,False,Manager,Urban,TikTok,58,7,714,ASMR,10,1858,5,6,47,90,Afternoon,5,5,Entertainment,Smartphone,Windows,18:05:00,7,3,At school,Wi-Fi
329,22,Male,54228,True,False,Students,Rural,TikTok,239,17,257,Gaming,11,142,8,25,15,69,Night,3,7,Habit,Smartphone,Windows,20:30:00,5,5,At home,Mobile Data
331,21,Other,71875,True,False,driver,Rural,TikTok,245,12,38,Jokes/Memes,28,3469,2,22,47,77,Afternoon,5,5,Entertainment,Smartphone,iOS,18:05:00,7,3,At school,Wi-Fi
332,52,Male,51655,True,True,Waiting staff,Rural,TikTok,35,17,8653,Life Hacks,16,3695,9,5,38,43,Afternoon,5,5,Entertainment,Tablet,iOS,18:05:00,7,3,At work,Mobile Data
334,61,Female,69437,True,True,Waiting staff,Rural,TikTok,270,3,1833,ASMR,22,642,6,12,14,22,Evening,6,4,Entertainment,Smartphone,iOS,15:45:00,8,2,At school,Mobile Data
340,52,Male,66733,True,True,Labor/Worker,Rural,TikTok,153,10,1752,Gaming,21,949,5,29,16,9,Evening,6,4,Habit,Smartphone,Windows,15:45:00,8,2,At school,Mobile Data
341,58,Male,31240,False,True,Engineer,Rural,TikTok,268,11,4998,Life Hacks,6,5444,1,16,38,1,Morning,8,2,Boredom,Computer,iOS,09:15:00,10,0,At school,Mobile Data
348,50,Other,83095,True,False,Waiting staff,Urban,TikTok,175,5,2097,Comedy,20,6994,8,29,20,40,Evening,6,4,Boredom,Tablet,iOS,15:45:00,8,2,At school,Mobile Data
351,40,Male,55292,True,True,driver,Rural,TikTok,183,8,4530,Comedy,18,8619,7,11,46,16,Morning,8,2,Habit,Tablet,Android,09:15:00,10,0,At home,Wi-Fi
355,42,Female,79659,True,True,Teacher,Rural,TikTok,126,3,9582,Trends,4,8736,4,10,18,3,Night,3,7,Boredom,Smartphone,iOS,20:30:00,5,5,At school,Wi-Fi
360,63,Male,78929,True,False,Waiting staff,Rural,TikTok,285,6,5564,Jokes/Memes,2,7082,4,27,10,75,Evening,6,4,Boredom,Computer,Android,15:45:00,8,2,At school,Wi-Fi
363,64,Male,70500,True,True,Cashier,Rural,TikTok,40,16,6787,Jokes/Memes,5,7749,2,22,19,31,Evening,6,4,Procrastination,Smartphone,Android,15:45:00,8,2,At home,Mobile Data
366,19,Male,64900,True,True,Cashier,Urban,TikTok,274,11,7346,Entertainment,3,8600,3,29,36,1,Afternoon,5,5,Boredom,Smartphone,Android,18:05:00,7,3,At work,Mobile Data
369,19,Female,36288,False,False,Students,Urban,TikTok,163,17,4513,Jokes/Memes,3,4179,9,11,31,37,Night,3,7,Habit,Smartphone,iOS,20:30:00,5,5,Commuting,Mobile Data
370,43,Male,92692,True,True,Labor/Worker,Rural,TikTok,294,12,4944,Gaming,6,6299,2,1,31,27,Evening,6,4,Entertainment,Tablet,Android,15:45:00,8,2,At work,Wi-Fi
374,26,Female,29168,False,True,Waiting staff,Urban,TikTok,241,14,8984,Pranks,27,6615,8,26,10,67,Morning,8,2,Habit,Tablet,iOS,09:15:00,10,0,At home,Mobile Data
375,60,Other,69879,True,False,Teacher,Urban,TikTok,102,1,637,Gaming,13,6762,6,22,31,30,Night,3,7,Boredom,Smartphone,Android,20:30:00,5,5,At school,Wi-Fi
379,43,Female,91853,True,False,driver,Rural,TikTok,23,7,4184,Jokes/Memes,1,7050,3,5,23,7,Morning,8,2,Habit,Smartphone,Android,09:15:00,10,0,At school,Mobile Data
380,52,Other,84046,True,True,Waiting staff,Urban,TikTok,234,10,713,Jokes/Memes,9,4959,7,17,15,34,Afternoon,5,5,Habit,Tablet,Android,18:05:00,7,3,At school,Mobile Data
388,18,Male,37862,False,False,Students,Rural,TikTok,224,3,9435,Entertainment,26,158,7,15,8,46,Night,3,7,Boredom,Smartphone,Android,20:30:00,5,5,At home,Wi-Fi
402,42,Female,60197,True,False,driver,Rural,TikTok,134,13,1510,Life Hacks,9,7896,4,26,10,46,Afternoon,5,5,Boredom,Smartphone,iOS,19:25:00,7,3,At work,Mobile Data
411,25,Male,95868,True,False,Waiting staff,Rural,TikTok,213,2,4432,Jokes/Memes,14,8914,1,3,45,22,Night,3,7,Habit,Computer,Android,23:30:00,5,5,At home,Mobile Data
413,61,Male,88336,True,False,Waiting staff,Rural,TikTok,112,7,3961,Trends,6,5807,1,21,27,86,Afternoon,5,5,Entertainment,Smartphone,Android,19:25:00,7,3,At work,Mobile Data
419,49,Male,26796,False,False,Labor/Worker,Urban,TikTok,126,7,7834,Life Hacks,14,1945,2,18,21,51,Night,3,7,Habit,Smartphone,iOS,23:30:00,5,5,Commuting,Wi-Fi
421,64,Male,63056,True,False,Students,Urban,TikTok,246,8,2423,Entertainment,29,2430,7,4,15,43,Evening,6,4,Boredom,Smartphone,Android,15:55:00,8,2,At school,Mobile Data
426,59,Female,36724,False,True,Artist,Urban,TikTok,33,11,9637,Pranks,25,2019,4,26,6,97,Night,3,7,Boredom,Smartphone,Android,23:30:00,5,5,At school,Mobile Data
428,36,Male,37087,False,False,Engineer,Rural,TikTok,33,7,8081,Trends,19,2320,9,25,29,82,Evening,6,4,Entertainment,Smartphone,iOS,15:55:00,8,2,Commuting,Wi-Fi
429,34,Male,32605,False,True,Teacher,Urban,TikTok,37,7,6824,Vlogs,18,1646,3,4,40,45,Evening,6,4,Boredom,Computer,Android,15:55:00,8,2,At work,Wi-Fi
431,45,Male,25482,False,True,Labor/Worker,Rural,TikTok,68,6,6605,Trends,28,8015,2,27,4,39,Night,3,7,Boredom,Smartphone,Android,23:30:00,5,5,At home,Wi-Fi
434,43,Male,25463,False,False,Students,Rural,TikTok,280,7,9104,Comedy,25,7485,3,6,37,99,Night,3,7,Entertainment,Tablet,Android,23:30:00,5,5,At work,Wi-Fi
435,40,Other,90448,True,True,Engineer,Rural,TikTok,258,2,1026,Life Hacks,28,3081,7,21,20,23,Evening,6,4,Habit,Smartphone,Android,15:55:00,8,2,At home,Wi-Fi
437,29,Female,53623,True,True,Labor/Worker,Urban,TikTok,202,4,72,Trends,7,4131,2,14,23,88,Night,3,7,Boredom,Smartphone,MacOS,23:30:00,5,5,At school,Mobile Data
438,18,Female,79156,True,False,Students,Urban,TikTok,227,6,5547,Pranks,8,5123,7,21,45,62,Afternoon,6,4,Entertainment,Tablet,Android,19:25:00,8,2,At school,Wi-Fi
442,49,Male,88648,True,False,Labor/Worker,Rural,TikTok,112,9,1849,Vlogs,10,6540,5,21,1,54,Evening,7,3,Boredom,Smartphone,Android,15:55:00,9,1,At school,Mobile Data
449,22,Male,72780,True,False,Labor/Worker,Urban,TikTok,58,11,3027,Trends,3,4536,8,7,22,99,Night,2,8,Boredom,Tablet,MacOS,23:30:00,4,6,At school,Mobile Data
451,46,Other,64199,True,False,driver,Urban,TikTok,170,1,4712,Jokes/Memes,3,9957,8,6,34,83,Afternoon,6,4,Habit,Smartphone,Windows,19:25:00,8,2,At school,Mobile Data
452,20,Male,81035,True,True,Waiting staff,Rural,TikTok,185,13,8022,Entertainment,19,4162,6,21,39,33,Evening,7,3,Boredom,Smartphone,Windows,15:55:00,9,1,At work,Mobile Data
454,43,Male,64363,True,True,Manager,Rural,TikTok,11,1,2621,Vlogs,27,5067,7,20,17,74,Evening,7,3,Boredom,Tablet,MacOS,15:55:00,9,1,At home,Wi-Fi
457,39,Other,75284,True,False,Labor/Worker,Urban,TikTok,126,9,7346,Jokes/Memes,15,9632,9,8,3,45,Evening,7,3,Boredom,Smartphone,Android,15:55:00,9,1,At school,Mobile Data
460,45,Male,42432,False,True,Students,Rural,TikTok,37,14,3873,Entertainment,24,6391,9,17,25,51,Afternoon,6,4,Habit,Tablet,Android,19:25:00,8,2,At work,Mobile Data
463,47,Female,23321,False,False,Labor/Worker,Rural,TikTok,65,17,1441,Jokes/Memes,4,528,9,22,29,53,Morning,9,1,Procrastination,Tablet,Windows,07:45:00,10,0,At home,Wi-Fi
464,63,Male,57383,True,True,Engineer,Rural,TikTok,44,2,766,Life Hacks,13,4675,8,20,29,19,Afternoon,6,4,Entertainment,Smartphone,Android,19:25:00,8,2,At work,Mobile Data
465,22,Male,98682,True,False,Labor/Worker,Urban,TikTok,121,5,4093,Jokes/Memes,9,1663,4,16,10,69,Night,2,8,Habit,Tablet,iOS,23:30:00,4,6,At work,Mobile Data
475,54,Male,89569,True,True,Manager,Rural,TikTok,116,17,5900,Life Hacks,26,5562,8,9,28,18,Morning,9,1,Boredom,Smartphone,Windows,07:45:00,10,0,Commuting,Wi-Fi
477,27,Female,23744,False,True,driver,Rural,TikTok,190,16,566,Life Hacks,21,9011,4,5,44,18,Morning,9,1,Habit,Smartphone,Android,07:45:00,10,0,At school,Mobile Data
482,27,Female,98931,True,False,Labor/Worker,Rural,TikTok,178,19,9380,Jokes/Memes,12,1028,5,11,39,51,Morning,9,1,Procrastination,Smartphone,Windows,07:45:00,10,0,Commuting,Wi-Fi
489,33,Male,91425,True,True,Waiting staff,Urban,TikTok,48,17,6084,Gaming,4,4210,3,22,17,85,Evening,7,3,Boredom,Smartphone,Android,15:55:00,9,1,At home,Wi-Fi
492,19,Male,54610,True,True,Students,Rural,TikTok,94,5,2581,Jokes/Memes,26,4071,9,17,10,96,Evening,7,3,Habit,Smartphone,iOS,15:55:00,9,1,At work,Mobile Data
494,49,Male,94637,True,True,Students,Rural,TikTok,197,14,8244,Entertainment,10,3626,4,25,6,54,Night,2,8,Habit,Tablet,Android,23:30:00,4,6,At home,Mobile Data
495,44,Male,98033,True,False,Labor/Worker,Rural,TikTok,168,3,9554,Gaming,13,184,7,24,48,47,Afternoon,6,4,Procrastination,Computer,iOS,19:25:00,8,2,At school,Mobile Data
497,41,Female,96917,True,False,Engineer,Urban,TikTok,82,19,4020,Vlogs,3,8412,3,10,3,30,Night,2,8,Entertainment,Tablet,Android,23:30:00,4,6,At home,Mobile Data
500,50,Female,37154,False,True,Waiting staff,Rural,TikTok,11,16,672,Jokes/Memes,19,3188,1,18,15,50,Morning,9,1,Boredom,Tablet,Android,07:45:00,10,0,At home,Wi-Fi
501,50,Male,39539,False,False,driver,Urban,TikTok,253,14,778,Vlogs,27,9285,4,19,13,45,Night,2,8,Habit,Tablet,iOS,23:30:00,4,6,At home,Wi-Fi
509,27,Female,42785,False,True,Labor/Worker,Rural,TikTok,132,2,6764,Vlogs,6,6274,9,18,17,6,Afternoon,6,4,Entertainment,Smartphone,Android,19:25:00,8,2,At work,Mobile Data
